label_ko,20230630,20230331,20221231,20220930,20220630,20220331,20211231,20210930,20210630,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20091231,20090101,20081231
기타비유동부채,53511000000.0,69334000000.0,39224000000.0,48730000000.0,,,76697000000.0,,,,1706000000.0,,,,1295000000.0,,,,30000000.0,,,,113000000.0,,,,606000000.0,,,,3337000000.0,,,,3827000000.0,,,,152054000000.0,,,,12387000000.0,,,,175797000000.0,,,,166291000000.0,202918000000.0,174010000000.0,
부채총계,67838801000000.0,63441883000000.0,50667559000000.0,53983372000000.0,,,57918452000000.0,,,,46347703000000.0,,,,38310673000000.0,,,,46033232000000.0,,,,46671585000000.0,,,,37256197000000.0,,,,32541375000000.0,,,,31383508000000.0,,,,32455190000000.0,,,,27376186000000.0,,,,29142943000000.0,,,,27318781000000.0,22854888000000.0,17722215000000.0,14405730000000.0
자본금,897514000000.0,897514000000.0,897514000000.0,897514000000.0,,,897514000000.0,,,,897514000000.0,,,,897514000000.0,,,,897514000000.0,,,,897514000000.0,,,,897514000000.0,,,,897514000000.0,,,,897514000000.0,,,,897514000000.0,,,,897514000000.0,,,,897514000000.0,,,,897514000000.0,897514000000.0,897514000000.0,897514000000.0
우선주자본금,119467000000.0,119467000000.0,119467000000.0,119467000000.0,,,119467000000.0,,,,119467000000.0,,,,119467000000.0,,,,119467000000.0,,,,119467000000.0,,,,119467000000.0,,,,119467000000.0,,,,119467000000.0,,,,119467000000.0,,,,119467000000.0,,,,119467000000.0,,,,119467000000.0,119467000000.0,119467000000.0,119467000000.0
보통주자본금,778047000000.0,778047000000.0,778047000000.0,778047000000.0,,,778047000000.0,,,,778047000000.0,,,,778047000000.0,,,,778047000000.0,,,,778047000000.0,,,,778047000000.0,,,,778047000000.0,,,,778047000000.0,,,,778047000000.0,,,,778047000000.0,,,,778047000000.0,,,,778047000000.0,778047000000.0,778047000000.0,778047000000.0
주식발행초과금,4403893000000.0,4403893000000.0,4403893000000.0,4403893000000.0,,,4403893000000.0,,,,4403893000000.0,,,,4403893000000.0,,,,4403893000000.0,,,,4403893000000.0,,,,4403893000000.0,,,,4403893000000.0,,,,4403893000000.0,,,,4403893000000.0,,,,4403893000000.0,,,,4403893000000.0,,,,4403893000000.0,4403893000000.0,4403893000000.0,4403893000000.0
이익잉여금(결손금),213225614000000.0,206093134000000.0,204388016000000.0,203005448000000.0,,,188774335000000.0,,,,178284102000000.0,,,,172288326000000.0,,,,166555532000000.0,,,,150928724000000.0,,,,140747574000000.0,,,,143629177000000.0,,,,134464189000000.0,,,,122029419000000.0,,,,105306520000000.0,,,,88735491000000.0,,,,79511777000000.0,68085358000000.0,62686166000000.0,55416052000000.0
기타자본항목,-338229000000.0,-426037000000.0,-273232000000.0,-1261149000000.0,,,-882010000000.0,,,,-268785000000.0,,,,280514000000.0,,,,1131186000000.0,,,,-4660356000000.0,,,,-8502219000000.0,,,,-12526126000000.0,,,,-7113271000000.0,,,,-4960059000000.0,,,,-4720058000000.0,,,,-5579992000000.0,,,,-4952960000000.0,-6632299000000.0,-7052579000000.0,
자본총계,218188792000000.0,210968504000000.0,209416191000000.0,207045706000000.0,203914447000000.0,198275770000000.0,193193732000000.0,187390110000000.0,181352881000000.0,174756074000000.0,183316724000000.0,181587637000000.0,178750445000000.0,177428753000000.0,177870247000000.0,177550648000000.0,175388778000000.0,173749517000000.0,172988125000000.0,169658814000000.0,161839637000000.0,156195372000000.0,151569775000000.0,144283375000000.0,139652676000000.0,136578281000000.0,137546762000000.0,131906648000000.0,133009323000000.0,132807501000000.0,136428255000000.0,136989212000000.0,134197692000000.0,131006859000000.0,132677075000000.0,131103362000000.0,129350124000000.0,125109331000000.0,122370767000000.0,119305084000000.0,114669976000000.0,109147716000000.0,105887869000000.0,101334318000000.0,96332794000000.0,92258998000000.0,88456906000000.0,85711520000000.0,84294078000000.0,81571503000000.0,79860224000000.0,66754466000000.0,60934994000000.0,58113490000000.0
부채와자본총계,286027593000000.0,274410387000000.0,260083750000000.0,261029078000000.0,,,251112184000000.0,,,,229664427000000.0,,,,216180920000000.0,,,,219021357000000.0,,,,198241360000000.0,,,,174802959000000.0,,,,168969630000000.0,,,,164060583000000.0,,,,154825957000000.0,,,,133264055000000.0,,,,117599849000000.0,,,,107179005000000.0,89609354000000.0,78657209000000.0,72519220000000.0
